TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
13.1826 0.0585 0.86345
14.2597 0.4588 0.69075
0.8634 0.8934 0.9135
0.4954 0.2348 0.0899
9.4425 0.7928 0.915
3.8599 0.8549 0.9339
6.3157 0.141 0.6824
3.6871 0.0481 0.775
5.3483 0.4365 0.64235
6.1341 0.6861 0.06745
9.4594 0.2274 0.68
2.5646 0.5946 0.886
0.4954 0.4238 0.8843
0.0 0.10185 0.38295
6.5979 0.28145 0.0701
14.1935 0.43755 0.4898
3.5424 0.4213 0.7242
1.7899 0.1913 0.6942
3.2635 0.7804 0.8008
9.6692 0.50395 0.82455
5.4052 0.44155 0.48635
6.3231 0.39365 0.6049
8.1015 0.4643 0.6324
13.3024 0.66815 0.67585
6.6576 0.0319 0.47125
0.5038 0.4857 0.4754
9.8835 0.65015 0.3998
4.8302 0.28105 0.8807
6.7318 0.64745 0.8131
4.3107 0.5601 0.2198
3.8186 0.3182 0.8199
2.0967 0.4518 0.33035
5.4328 0.60785 0.2634
3.5424 0.0697 0.7626
4.9876 0.3284 0.3518
7.6709 0.3538 0.8002
0.4954 0.53485 0.7648
13.1033 0.70155 0.7862
3.4908 0.8275 0.6841
9.4877 0.62625 0.8482
7.7278 0.5564 0.77025
17.9606 0.9184 0.8189
10.4871 0.49715 0.87735
8.3963 0.03405 0.72485
11.2959 0.0565 0.1763
7.7636 0.2589 0.467
9.5886 0.3397 0.7275
3.4908 0.26225 0.175
2.4611 0.66085 0.77265
10.1099 0.4259 0.9211
3.6871 0.8374 0.9402
3.3816 0.5453 0.7118
8.9127 0.3002 0.6644
11.682 0.2465 0.7789
0.4954 0.2493 0.2932
5.5256 0.3284 0.1359
7.3178 0.29735 0.52905
4.6537 0.2456 0.4759
4.9498 0.37765 0.7186
10.0576 0.1109 0.1398
6.5482 0.4352 0.2774
7.5904 0.4033 0.6787
10.1443 0.4896 0.612
11.9789 0.839 0.7868
8.0196 0.7315 0.3177
